length	HN1-d365	HN1-d090	HN1-d180	HN1-BL	HN1-d049	HN1-d008	HN2-d365	HN2-d090	HN2-d049	HN2-d008	HN2-BL	HN3-d365	HN3-d090	HN3-d180	HN3-d049	HN3-d008	HN3-BL	HN4-d365	HN4-d090	HN4-d180	HN4-BL	HN4-d043	HN4-d008	HN5-d365	HN5-d090	HN5-d180	HN5-BL	HN5-d043	HN5-d008	HN6-d365	HN6-d090	HN6-d180	HN6-BL	HN6-d043	HN6-d008	HN7-d090	HN7-d180	HN7-BL	HN7-d043	HN7-d008	HV1	HV3	HV4	HV5	HV6	HV7	HV8	OMD1-d090	OMD1-d180	OMD1-d002	OMD1-d005	OMD4-d365	OMD4-d090	OMD4-d180	OMD4-BL	OMD4-d002	OMD4-d005	OMD5-d090	OMD5-d180	OMD5-BL	OMD5-d002	OMD5-d005	OMD6-d365	OMD6-d090	OMD6-d180	OMD6-BL	OMD6-d002	OMD6-d005	OMD7-d090	OMD7-d180	OMD7-BL	OMD7-d365	OMD7-d002	OMD8-d090	OMD8-d365	OMD8-d180	OMD8-BL	OMD8-d010	OMD8-d002	OMD9-d365	OMD9-d090	OMD9-d180	OMD9-BL	OMD9-d002	OMD9-d005	OMD1-BL	PV1	PV3	PV4	PV5	PV6	PV7	PV9
283	8378	29667	30842	22559	44721	24640	11352	39974	42985	22892	18900	14399	35202	15504	26360	28826	24334	8105	31060	33459	33301	29433	55797	31577	37757	56229	47247	3630	57766	11725	17574	32733	17630	34869	27464	54464	13474	23312	31455	54754	36559	33790	32655	38633	39409	25119	52759	41894	42992	31295	35857	9264	17956	23796	37092	30379	25142	16727	19611	41055	18920	25773	17259	23770	19223	40572	22170	35725	13113	16392	43538	8883	29283	18778	31457	37263	29737	51850	34527	37567	21694	97487	55220	13698	35232	21914	40661	274801	13933	21800	36795	75567	347476
284	8577	30997	31718	22591	45084	24597	11614	39810	43792	22978	19120	14253	35104	15691	27220	28900	24481	8187	31315	34454	33644	30496	56359	31791	37801	57278	48014	3784	57959	11727	17990	33837	18090	35118	27461	54789	14165	23325	32237	54607	37727	34905	33783	40033	40682	25327	54954	42388	44473	32057	36394	9491	18199	24059	37721	30981	25592	17273	20046	42296	19205	26623	17815	24230	19720	40435	22557	36303	13694	16584	43620	8868	29697	18911	31961	39242	30412	52291	35379	38580	22358	101003	56646	14053	36115	23181	41463	277403	13885	22251	37820	77038	354836
285	8651	29860	31248	22890	45450	24588	11780	40417	44799	22953	19122	14729	35405	15728	27267	28818	24535	8358	31610	34187	34617	30772	57190	32460	38960	57975	48269	3789	58278	11861	17936	34806	17978	35790	28168	55068	14422	23732	32641	55527	38290	35011	35332	40152	42390	25088	56124	42761	43415	32957	37365	9634	18405	24434	38094	31483	25937	17510	20186	42729	19551	26114	17954	24462	19648	41590	22821	36903	13681	17079	44427	9047	30246	19702	32433	39683	30589	54171	35117	39508	22585	103305	57731	14112	36438	22619	42688	277336	13600	22367	38301	76354	362718
286	8780	29445	32572	23026	46829	24876	12019	41850	45874	22955	19200	14948	36217	16165	28144	29493	25045	8695	32873	35557	34409	31690	57891	32929	39827	59152	49516	3892	60245	11974	18648	34980	18576	36354	28473	55606	15018	24270	33620	55559	39562	35893	36184	41875	43688	25749	58306	43596	44150	33924	38431	9999	19327	25569	39735	32944	26684	17947	20946	43916	19957	27338	18341	24993	20446	43169	23827	37481	14213	17279	45115	9164	30794	19989	33370	41159	31776	54339	36521	41155	23251	107958	58986	14163	36800	22932	42726	278006	13877	22596	39535	79032	371963
287	9138	31238	33570	23917	48819	26146	12766	42330	47536	23745	19909	15719	36812	16889	29120	30408	26217	9258	34614	37221	35533	32886	60302	35093	42638	62437	51372	4072	62399	12831	19132	36113	19055	37710	29049	57456	15465	25229	34971	57589	41600	36679	37227	43254	47045	26556	61106	44829	46159	34589	39854	10116	20195	26402	41322	34616	28158	18652	21608	45185	20305	27970	18797	26174	21496	44743	24618	39294	14776	17907	47015	9564	32428	21755	34698	43285	32940	55127	37931	43034	24190	111981	61867	14956	38706	23718	44190	280165	14803	23024	41474	81783	385907
288	9410	32410	35899	25041	51651	27624	13162	44003	50260	24353	20642	16715	38496	17797	30678	31386	27361	9522	36008	39449	36953	35464	63411	36950	45630	65818	54057	4314	66025	13155	20303	38152	20247	38804	29764	59414	16343	26416	36958	59348	44427	38365	39076	45701	48858	27328	64936	46777	47776	37137	40864	10741	21904	28153	43420	36785	29522	19692	22378	46807	21353	28398	19828	27916	22818	47124	25862	41192	15595	19247	49511	10078	34457	22937	36848	46050	34591	58114	38704	46195	25984	118529	65393	15829	40391	23850	45494	281935	15202	23967	43812	86395	398731
289	9953	34380	38297	26639	54497	28632	13862	45749	53418	26137	21544	17850	40183	18950	32768	32830	28657	10121	37994	42013	39923	37556	65937	39492	48377	70196	57469	4723	70267	14052	21385	40035	21220	40840	31278	63019	17475	27881	39718	62906	44497	39832	41061	47327	52362	28422	68039	48530	49034	38377	43328	11314	22855	30239	46011	38683	30869	20758	23377	48985	22441	30096	21310	29686	24223	49456	27197	43587	16213	20149	52254	10722	35961	24572	39268	49075	36645	60931	41192	48919	27319	125341	69296	16536	42165	24262	46546	284779	15502	24607	47326	89623	415743
290	10753	35577	40496	28113	57845	30478	14645	48616	56979	27170	22340	18995	42542	19995	34500	34626	30407	10726	40546	44697	40999	39228	69410	41762	51335	73772	60606	4762	73881	15320	22065	43112	22113	42740	32231	66886	18868	29524	42212	66502	46725	41731	43400	49828	55083	29298	72724	50867	51755	40575	45140	11673	24482	32523	48584	40925	33128	22348	24685	51743	23643	31113	22233	31567	25978	52364	28764	45831	16950	21461	54938	11215	38168	25841	42167	52383	39098	66821	43299	52296	28635	131328	72770	17349	44692	25301	48166	291812	16392	26420	49617	93894	431872
291	11195	37437	42931	29533	61957	31737	15674	51226	60313	28089	23245	20535	43948	20913	36422	36488	32175	11504	42195	47924	43246	41385	72652	44326	54059	78030	63999	5065	78313	15706	23339	45677	23340	44870	33459	70379	20094	30937	44614	70501	49621	43889	46513	52265	58755	31302	77797	53031	55491	42821	47592	12773	26148	34096	51872	44036	34978	23719	25974	54467	24428	32753	23807	33406	27331	55174	29955	48255	17820	22348	57768	11951	40496	27407	44755	55496	41074	67147	45838	54962	30370	138032	76758	18120	46960	26119	50000	295071	17248	27087	52450	98934	444833
292	11824	39709	44826	30552	64630	33454	16379	53313	63252	29515	23999	21608	46045	22165	38273	38074	34060	12060	44648	51328	45638	43746	76180	47395	56754	81822	66471	5185	82209	16410	24157	49036	24253	47252	35330	73693	21500	32293	46905	73713	53066	46197	49001	55696	63531	31654	82728	54804	57912	46078	50477	13145	27413	35943	55198	45673	36779	25281	27571	57462	26010	34245	24652	35129	29024	58842	31546	51025	18852	24088	60485	12416	42933	28738	47072	59136	43729	70066	47532	58643	31963	144564	80629	19291	49059	27603	52905	298773	18082	28286	55455	102863	456899
293	12304	40302	46927	32347	67914	35296	17243	55564	66115	30595	25229	22819	48405	23041	40195	40101	35789	12721	46607	53933	48660	45575	80251	50080	59442	85942	69238	5521	85142	16910	25525	51090	25354	49356	36667	76826	23043	33653	49646	76678	55746	47831	51811	59017	67472	34244	88520	57010	61543	48345	53644	13920	29100	38336	57573	49169	39275	26215	28972	60902	27890	35908	25696	36655	30689	60841	32976	53365	19744	25102	62522	12821	45264	30221	50168	62197	46057	73229	49800	61905	33558	153834	84840	20071	51298	28926	55424	300137	18820	29347	58423	103796	467716
294	12907	41773	49398	34126	69992	36357	18281	57624	69001	31927	25777	24121	49928	24206	41669	41595	37035	13138	48330	56745	49695	47231	83087	52408	61501	88786	71318	5381	88794	17382	26523	54003	26578	51006	37885	78873	24824	35072	51839	78627	58240	51703	54589	62799	71084	35609	93295	59474	63808	51041	56330	14675	31090	40957	61109	51449	41429	27684	30390	62935	29129	37276	26662	37867	31871	63957	34359	54527	20670	26157	65164	13677	47000	31468	52789	64989	47891	77296	52131	64788	35441	157993	88265	21113	53414	29782	57554	299362	18913	31002	60582	106764	479402
295	13269	42255	50824	34773	72022	37209	18885	60046	71612	32717	26951	25037	49966	25602	43333	42659	38438	13793	50536	59175	51821	49477	85901	55344	63928	91911	72713	5542	91908	18224	27466	56019	27458	52446	39034	80793	26313	36520	53831	80693	62168	51936	56752	64958	75019	36205	97588	61790	66526	53528	58788	15421	32168	42151	63399	53889	43441	29304	31956	65260	31109	38656	27514	40052	33032	67144	35859	56833	21331	27057	67690	14177	49130	32863	54888	67913	49759	79331	54342	67169	37011	163188	90665	21920	54490	30882	60211	297292	20092	32020	63080	109582	493672
296	13940	43834	52676	36481	75584	39296	19866	62217	74454	34164	27729	26137	51946	26334	45469	44301	39618	14510	52788	61988	54462	51757	88974	57224	67764	95800	75956	5780	96434	19220	29181	59032	29073	54984	40767	83762	28091	37971	56381	83663	64943	53812	59810	69217	80242	38485	102609	63714	69296	56994	61943	15775	33625	44623	66097	56663	45897	30432	33139	67790	32913	39296	28562	42199	34842	70528	37599	59507	22480	29011	70706	14604	51664	34271	57566	70961	52464	83692	56664	70472	38740	171947	94307	22937	57736	32284	64486	298441	20100	33456	65840	115704	512149
297	14622	46564	55770	38129	79325	41561	20714	65609	79477	35938	29395	27504	54458	27942	48374	46564	41841	15661	56385	66506	57276	55182	94533	60526	72413	101892	80432	6597	102230	20779	30431	61544	30347	57688	42406	87798	29714	40175	59993	87954	67666	57313	63127	73144	85077	39707	108635	67059	73681	59738	65035	16766	35778	47179	70876	60200	48575	32904	34654	70996	34713	41737	30380	44616	36836	74398	39255	62656	23722	29819	74874	15728	54887	36136	60922	74447	54854	87838	59822	74450	40931	183725	99793	24143	60718	33226	65153	301500	21652	34828	70287	120068	535914
298	15810	48767	60163	40857	84297	43712	22051	69642	83477	38105	30850	29542	58398	29072	50265	49043	43990	16545	59517	71268	60871	59033	100020	64358	76727	107884	84617	6932	109306	21875	32404	66655	32430	61618	44595	92824	31653	42883	64235	92881	71883	62630	66648	77579	91221	41359	116031	70957	78497	62888	68921	17717	38616	50434	75598	64001	51558	34687	36673	74326	36429	44147	31976	47610	39863	79540	42146	66447	25299	32658	80110	16489	57994	38994	64862	79313	59098	92749	62530	79547	44416	191757	106635	25811	64747	34481	67461	307416	22830	37095	75469	128159	564048
299	16482	51553	63081	42940	88780	45712	23537	73080	88464	39715	32062	31364	61477	31352	53891	51632	46286	17277	63625	74853	64280	62755	105938	68400	80427	112529	87698	6776	114678	23241	34089	69981	34074	64904	46936	97098	34352	45272	68089	97141	76025	62393	70108	80900	95686	42972	122384	75441	82057	66344	72858	18657	40791	53469	79606	68070	55171	37262	38812	77940	38897	46042	33962	50790	42669	84466	44213	70451	26365	34277	84081	17614	61836	40627	69534	84328	62219	97568	66076	85679	47042	201461	112773	27832	68073	35528	71501	310679	23765	39106	79442	134398	588736
300	17046	52780	65422	43683	92177	47723	24499	76837	92311	41730	33650	32334	61828	32470	55990	52922	48329	18432	65998	78605	66175	64827	109847	71895	83503	115972	91255	7066	118162	24789	35688	74365	35554	68479	48771	100191	36909	47313	70394	100213	79105	64758	72570	84139	100034	45187	126457	78779	85763	68317	75803	19374	42475	56104	82143	70742	58299	38931	40109	82261	42780	47622	34833	52678	44380	87898	46234	73094	27544	35736	87570	18128	64395	41621	72253	87716	66025	102106	69228	88207	48918	210341	117982	27851	70208	36883	77031	309542	25145	41065	82876	137847	602582
301	17490	54819	67173	45387	95078	48635	25838	78660	94964	43020	34259	33677	63880	32944	57163	55449	50013	18776	68572	80879	68577	67240	113753	74430	85359	118911	92610	7085	120254	25309	37154	77675	37185	70582	50040	102406	39225	49484	72665	102457	81506	66653	74915	85262	103368	46444	130406	81178	89065	71462	79268	20524	44090	57697	85285	73454	60526	40437	41688	85723	44363	50525	36395	54535	45558	90854	47663	74715	28353	36485	89796	18586	66204	42418	75139	89678	68423	106406	71852	90519	50745	218079	121080	28818	72357	37581	77319	306099	24756	41982	84467	141519	612146
